,open_time,exit_time,direction,holding_time,returns,open_time_stamp,exit_time_stamp
27967,56632,56634.0,1.0,2.0,-0.0005986231845932131,2022-10-19 13:11:00,2022-10-19 13:13:00
27968,56634,56635.0,-1.0,1.0,0.0006655574288944824,2022-10-19 13:13:00,2022-10-19 13:14:00
27969,56635,56639.0,1.0,4.0,0.0008318775955980615,2022-10-19 13:14:00,2022-10-19 13:18:00
27970,56639,56641.0,-1.0,2.0,0.0011981230840512665,2022-10-19 13:18:00,2022-10-19 13:20:00
27971,56641,56642.0,1.0,1.0,0.0004993924162848639,2022-10-19 13:20:00,2022-10-19 13:21:00
27972,56642,56644.0,-1.0,2.0,0.0005659969187739223,2022-10-19 13:21:00,2022-10-19 13:23:00
27973,56644,56646.0,1.0,2.0,-3.330391487848361e-05,2022-10-19 13:23:00,2022-10-19 13:25:00
27974,56646,56648.0,-1.0,2.0,0.00033310016629885887,2022-10-19 13:25:00,2022-10-19 13:27:00
27975,56648,56652.0,1.0,4.0,-0.00163379660569167,2022-10-19 13:27:00,2022-10-19 13:31:00
27976,56653,56654.0,-1.0,1.0,-0.00010007839482606839,2022-10-19 13:32:00,2022-10-19 13:33:00
27977,56654,56657.0,1.0,3.0,-0.0014020097766704197,2022-10-19 13:33:00,2022-10-19 13:36:00
27978,56657,56659.0,-1.0,2.0,0.0013705271988660535,2022-10-19 13:36:00,2022-10-19 13:38:00
27979,56659,56662.0,1.0,3.0,0.0002675674787694351,2022-10-19 13:38:00,2022-10-19 13:41:00
27980,56662,56664.0,-1.0,2.0,-0.0017374457242507638,2022-10-19 13:41:00,2022-10-19 13:43:00
27981,56664,56665.0,1.0,1.0,0.00033377837426018476,2022-10-19 13:43:00,2022-10-19 13:44:00
27982,56665,56666.0,-1.0,1.0,0.00016687526113012726,2022-10-19 13:44:00,2022-10-19 13:45:00
27983,56666,56667.0,1.0,1.0,0.0005339028423675204,2022-10-19 13:45:00,2022-10-19 13:46:00
27984,56667,56668.0,-1.0,1.0,0.0009345171229472312,2022-10-19 13:46:00,2022-10-19 13:47:00
27985,56668,56674.0,1.0,6.0,0.002367970156133648,2022-10-19 13:47:00,2022-10-19 13:53:00
27986,56675,56676.0,1.0,1.0,0.0012989826463906465,2022-10-19 13:54:00,2022-10-19 13:55:00
27987,56677,56681.0,1.0,4.0,-0.0026681802174978054,2022-10-19 13:56:00,2022-10-19 14:00:00
27988,56681,56682.0,-1.0,1.0,0.00013359607247431386,2022-10-19 14:00:00,2022-10-19 14:01:00
27989,56682,56683.0,1.0,1.0,-0.0009022406252723844,2022-10-19 14:01:00,2022-10-19 14:02:00
27990,56683,56687.0,-1.0,4.0,-0.0008354358954725476,2022-10-19 14:02:00,2022-10-19 14:06:00
27991,56687,56689.0,1.0,2.0,0.0014019629774770124,2022-10-19 14:06:00,2022-10-19 14:08:00
27992,56689,56691.0,-1.0,2.0,0.0004671026376133162,2022-10-19 14:08:00,2022-10-19 14:10:00
27993,56691,56693.0,1.0,2.0,0.0004003870461547068,2022-10-19 14:10:00,2022-10-19 14:12:00
27994,56693,56694.0,-1.0,1.0,-0.0007669607058517713,2022-10-19 14:12:00,2022-10-19 14:13:00
27995,56694,56700.0,1.0,6.0,0.0003332777901205565,2022-10-19 14:13:00,2022-10-19 14:19:00
